timestamp,acc_x,acc_y,acc_z
20,10.24239,-0.196325,0.263362
40,10.20169,-0.203507,0.263362
60,10.24,-0.203507,0.287304
80,10.24,-0.234632,0.229843
100,10.23521,-0.177171,0.289698
120,10.22564,-0.220267,0.205901
140,10.24239,-0.203507,0.241814
160,10.21127,-0.203507,0.25618
180,10.21127,-0.21069,0.270545
200,10.23521,-0.237026,0.237026
220,10.22803,-0.203507,0.241814
240,10.22803,-0.225055,0.241814
260,10.24479,-0.260968,0.234632
280,10.24,-0.181959,0.270545
300,10.22324,-0.234632,0.227449
320,10.23761,-0.21069,0.289698
340,10.22324,-0.222661,0.23942
360,10.21127,-0.184354,0.289698
380,10.23042,-0.241814,0.215478
400,10.22803,-0.186748,0.260968
420,10.22085,-0.237026,0.213084
440,10.23282,-0.208296,0.270545
460,10.21845,-0.21069,0.213084
480,10.21127,-0.19393,0.268151
500,10.23042,-0.237026,0.263362
520,10.23761,-0.191536,0.268151
540,10.20409,-0.205901,0.253785
560,10.24239,-0.229843,0.253785
580,10.21606,-0.184354,0.237026
600,10.22085,-0.215478,0.217872
620,10.24239,-0.227449,0.253785
640,10.24239,-0.232238,0.263362
660,10.22564,-0.201113,0.246603
680,10.25437,-0.25618,0.244209
700,10.23282,-0.196325,0.253785
720,10.22803,-0.208296,0.241814
740,10.22564,-0.196325,0.280122
760,10.23282,-0.244209,0.234632
780,10.22803,-0.169988,0.265756
800,10.23282,-0.229843,0.222661
820,10.23521,-0.19393,0.282516
840,10.24,-0.203507,0.246603
860,10.21366,-0.205901,0.292093
880,10.22085,-0.229843,0.227449
900,10.20169,-0.19393,0.287304
920,10.23282,-0.213084,0.244209
940,10.22085,-0.23942,0.248997
960,10.22324,-0.203507,0.248997
980,10.23761,-0.23942,0.234632
1000,10.25915,-0.232238,0.248997
1020,10.21127,-0.244209,0.227449
1040,10.22324,-0.213084,0.265756
1060,10.21606,-0.169988,0.246603
1080,10.22803,-0.217872,0.272939
1100,10.22803,-0.232238,0.232238
1120,10.21845,-0.198719,0.217872
1140,10.23282,-0.220267,0.253785
1160,10.23521,-0.237026,0.253785
1180,10.22564,-0.191536,0.260968
1200,10.25437,-0.251391,0.215478
1220,10.23761,-0.203507,0.25618
1240,10.23521,-0.217872,0.227449
1260,10.22085,-0.186748,0.248997
1280,10.23042,-0.251391,0.201113
1300,10.23521,-0.160412,0.244209
1320,10.23761,-0.241814,0.270545
1340,10.23042,-0.196325,0.28491
1360,10.21366,-0.205901,0.237026
1380,10.23521,-0.217872,0.232238
1400,10.25437,-0.217872,0.23942
1420,10.21845,-0.184354,0.263362
1440,10.21366,-0.234632,0.234632
1460,10.24479,-0.205901,0.241814
1480,10.21366,-0.174777,0.248997
1500,10.24718,-0.23942,0.222661
1520,10.21606,-0.19393,0.23942
1540,10.19212,-0.217872,0.263362
1560,10.23282,-0.213084,0.263362
1580,10.21845,-0.229843,0.196325
1600,10.22564,-0.186748,0.248997
1620,10.23761,-0.263362,0.248997
1640,10.24,-0.169988,0.234632
1660,10.22085,-0.213084,0.217872
1680,10.24958,-0.225055,0.265756
1700,10.23521,-0.203507,0.227449
1720,10.21845,-0.198719,0.241814
1740,10.22085,-0.23942,0.253785
1760,10.23282,-0.198719,0.258574
1780,10.21127,-0.198719,0.227449
1800,10.23282,-0.246603,0.251391
1820,10.19691,-0.19393,0.244209
1840,10.22324,-0.229843,0.237026
1860,10.24958,-0.227449,0.275333
1880,10.23761,-0.215478,0.229843
1900,10.22803,-0.217872,0.25618
1920,10.24,-0.253785,0.241814
1940,10.23761,-0.184354,0.263362
1960,10.24,-0.234632,0.225055
1980,10.24239,-0.215478,0.311246
2000,10.22803,-0.217872,0.213084
2020,10.22324,-0.220267,0.227449
2040,10.23042,-0.229843,0.287304
2060,10.20888,-0.186748,0.23942
2080,10.21366,-0.196325,0.265756
2100,10.22803,-0.237026,0.260968
2120,10.23042,-0.19393,0.248997
2140,10.23761,-0.198719,0.251391
2160,10.24958,-0.246603,0.222661
2180,10.22564,-0.181959,0.275333
2200,10.23282,-0.237026,0.222661
2220,10.24239,-0.23942,0.258574
2240,10.22564,-0.232238,0.237026
2260,10.20648,-0.174777,0.272939
2280,10.22085,-0.241814,0.222661
2300,10.22324,-0.177171,0.258574
2320,10.21845,-0.213084,0.201113
2340,10.24239,-0.220267,0.280122
2360,10.23521,-0.237026,0.234632
2380,10.24958,-0.1652,0.246603
2400,10.22803,-0.227449,0.244209
2420,10.23042,-0.208296,0.287304
2440,10.23761,-0.203507,0.244209
2460,10.25676,-0.213084,0.272939
2480,10.24479,-0.213084,0.282516
2500,10.21845,-0.222661,0.246603
2520,10.22085,-0.21069,0.263362
2540,10.24479,-0.246603,0.265756
2560,10.21845,-0.181959,0.277727
2580,10.21606,-0.234632,0.265756
2600,10.22324,-0.225055,0.272939
2620,10.23042,-0.213084,0.205901
2640,10.23042,-0.174777,0.263362
2660,10.24,-0.253785,0.23942
2680,10.23282,-0.201113,0.263362
2700,10.23761,-0.203507,0.244209
2720,10.26155,-0.21069,0.287304
2740,10.25437,-0.225055,0.232238
2760,10.21845,-0.177171,0.272939
2780,10.21845,-0.217872,0.263362
2800,10.23282,-0.227449,0.282516
2820,10.20648,-0.217872,0.237026
2840,10.23042,-0.184354,0.248997
2860,10.23282,-0.244209,0.227449
2880,10.24718,-0.229843,0.246603
2900,10.20648,-0.189142,0.25618
2920,10.23521,-0.227449,0.244209
2940,10.23761,-0.229843,0.272939
2960,10.23282,-0.253785,0.220267
2980,10.21606,-0.181959,0.241814
3000,10.25676,-0.237026,0.246603
3020,10.21845,-0.248997,0.241814
3040,10.21606,-0.169988,0.292093
3060,10.21366,-0.232238,0.248997
3080,10.24239,-0.198719,0.287304
3100,10.21127,-0.21069,0.244209
3120,10.22324,-0.19393,0.25618
3140,10.24239,-0.253785,0.232238
3160,10.21845,-0.189142,0.287304
3180,10.22324,-0.220267,0.241814
3200,10.23761,-0.220267,0.28491
3220,10.23282,-0.232238,0.227449
3240,10.21606,-0.181959,0.253785
3260,10.21845,-0.234632,0.253785
3280,10.23042,-0.232238,0.280122
3300,10.19691,-0.181959,0.28491
3320,10.23042,-0.21069,0.225055
3340,10.25676,-0.222661,0.241814
3360,10.24958,-0.220267,0.205901
3380,10.22564,-0.186748,0.258574
3400,10.22803,-0.248997,0.23942
3420,10.23282,-0.205901,0.265756
3440,10.23282,-0.220267,0.225055
3460,10.20888,-0.177171,0.277727
3480,10.23521,-0.23942,0.234632
3500,10.24718,-0.191536,0.272939
3520,10.22085,-0.203507,0.229843
3540,10.21606,-0.179565,0.260968
3560,10.23521,-0.248997,0.208296
3580,10.24239,-0.203507,0.292093
3600,10.22324,-0.215478,0.227449
3620,10.22324,-0.196325,0.287304
3640,10.24239,-0.248997,0.251391
3660,10.24,-0.191536,0.258574
3680,10.20888,-0.19393,0.232238
3700,10.21845,-0.213084,0.246603
3720,10.23761,-0.232238,0.251391
3740,10.20888,-0.21069,0.227449
3760,10.22803,-0.196325,0.260968
3780,10.24958,-0.234632,0.244209
3800,10.25197,-0.201113,0.280122
3820,10.24958,-0.225055,0.229843
3840,10.22324,-0.174777,0.23942
3860,10.24718,-0.263362,0.237026
3880,10.20648,-0.179565,0.270545
3900,10.21606,-0.213084,0.229843
3920,10.21845,-0.184354,0.287304
3940,10.24479,-0.251391,0.241814
3960,10.26155,-0.158017,0.287304
3980,10.20648,-0.229843,0.222661
4000,10.23521,-0.222661,0.306458
4020,10.22564,-0.172383,0.23942
4040,10.22803,-0.225055,0.213084
4060,10.24479,-0.225055,0.272939
4080,10.22085,-0.172383,0.234632
4100,10.22085,-0.203507,0.227449
4120,10.24239,-0.227449,0.270545
4140,10.24479,-0.225055,0.234632
4160,10.22564,-0.19393,0.272939
4180,10.24479,-0.248997,0.229843
4200,10.23521,-0.21069,0.270545
4220,10.20409,-0.220267,0.217872
4240,10.22803,-0.184354,0.280122
4260,10.22803,-0.248997,0.215478
4280,10.22803,-0.181959,0.268151
4300,10.23042,-0.225055,0.260968
4320,10.23521,-0.205901,0.301669
4340,10.23282,-0.23942,0.225055
4360,10.21845,-0.174777,0.287304
4380,10.22085,-0.217872,0.229843
4400,10.23521,-0.220267,0.260968
4420,10.22564,-0.215478,0.248997
4440,10.20888,-0.196325,0.260968
4460,10.23761,-0.234632,0.23942
4480,10.23761,-0.225055,0.23942
4500,10.22324,-0.158017,0.227449
4520,10.23761,-0.237026,0.237026
4540,10.23521,-0.225055,0.263362
4560,10.22803,-0.232238,0.246603
4580,10.22085,-0.181959,0.277727
4600,10.24,-0.246603,0.246603
4620,10.23042,-0.198719,0.282516
4640,10.22085,-0.227449,0.232238
4660,10.22564,-0.196325,0.263362
4680,10.22085,-0.251391,0.198719
4700,10.22324,-0.160412,0.260968
4720,10.23761,-0.21069,0.203507
4740,10.22564,-0.201113,0.265756
4760,10.23761,-0.217872,0.234632
4780,10.22324,-0.205901,0.287304
4800,10.23282,-0.248997,0.246603
4820,10.24,-0.201113,0.260968
4840,10.23042,-0.191536,0.248997
4860,10.22324,-0.203507,0.237026
4880,10.23282,-0.225055,0.222661
4900,10.23282,-0.208296,0.287304
4920,10.22085,-0.208296,0.25618
4940,10.26155,-0.234632,0.232238
4960,10.23042,-0.191536,0.263362
4980,10.23761,-0.232238,0.227449
5000,10.23761,-0.208296,0.258574
5020,10.23521,-0.217872,0.241814
5040,10.21127,-0.198719,0.282516
5060,10.23042,-0.23942,0.251391
5080,10.25676,-0.213084,0.265756
5100,10.22803,-0.205901,0.23942
5120,10.22324,-0.217872,0.289698
5140,10.24,-0.272939,0.246603
5160,10.20409,-0.172383,0.275333
5180,10.21366,-0.222661,0.227449
5200,10.24239,-0.208296,0.25618
5220,10.24,-0.198719,0.205901
5240,10.23282,-0.179565,0.277727
5260,10.24958,-0.244209,0.23942
5280,10.23042,-0.181959,0.287304
5300,10.22324,-0.229843,0.25618
5320,10.24479,-0.222661,0.28491
5340,10.21606,-0.196325,0.232238
5360,10.20409,-0.201113,0.25618
5380,10.22803,-0.232238,0.237026
5400,10.23042,-0.217872,0.244209
5420,10.21606,-0.189142,0.241814
5440,10.23042,-0.23942,0.227449
5460,10.23521,-0.1652,0.263362
5480,10.22564,-0.225055,0.234632
5500,10.23761,-0.215478,0.282516
5520,10.25676,-0.244209,0.205901
5540,10.21127,-0.162806,0.28491
5560,10.22803,-0.251391,0.241814
5580,10.21845,-0.203507,0.277727
5600,10.21606,-0.213084,0.225055
5620,10.23042,-0.217872,0.280122
5640,10.25437,-0.23942,0.232238
5660,10.22803,-0.167594,0.28491
5680,10.21845,-0.229843,0.21069
5700,10.23761,-0.220267,0.258574
5720,10.22085,-0.227449,0.232238
5740,10.21845,-0.191536,0.258574
5760,10.24479,-0.241814,0.251391
5780,10.23761,-0.213084,0.237026
5800,10.20648,-0.184354,0.237026
5820,10.26155,-0.246603,0.241814
5840,10.22564,-0.203507,0.248997
5860,10.22803,-0.232238,0.234632
5880,10.24,-0.222661,0.272939
5900,10.23761,-0.244209,0.213084
5920,10.21606,-0.177171,0.246603
5940,10.23521,-0.246603,0.246603
5960,10.25197,-0.213084,0.270545
5980,10.21845,-0.21069,0.241814
6000,10.25915,-0.21069,0.289698
6020,10.21845,-0.198719,0.28491
6040,10.21845,-0.203507,0.253785
6060,10.22564,-0.208296,0.251391
6080,10.24,-0.234632,0.25618
6100,10.23521,-0.213084,0.234632
6120,10.22324,-0.186748,0.258574
6140,10.25437,-0.270545,0.225055
6160,10.21366,-0.196325,0.280122
6180,10.21127,-0.191536,0.198719
6200,10.24958,-0.198719,0.277727
6220,10.23282,-0.229843,0.213084
6240,10.23282,-0.191536,0.287304
6260,10.24479,-0.258574,0.232238
6280,10.23042,-0.201113,0.272939
6300,10.22324,-0.21069,0.225055
6320,10.22803,-0.217872,0.289698
6340,10.22803,-0.21069,0.227449
6360,10.21366,-0.198719,0.246603
6380,10.22324,-0.234632,0.232238
6400,10.24479,-0.203507,0.25618
6420,10.21845,-0.198719,0.229843
6440,10.23521,-0.248997,0.246603
6460,10.23042,-0.201113,0.244209
6480,10.22324,-0.208296,0.244209
6500,10.24239,-0.205901,0.253785
6520,10.24,-0.25618,0.220267
6540,10.20888,-0.179565,0.268151
6560,10.22085,-0.260968,0.241814
6580,10.23761,-0.201113,0.258574
6600,10.21366,-0.217872,0.203507
6620,10.23282,-0.205901,0.270545
6640,10.23521,-0.225055,0.241814
6660,10.23521,-0.174777,0.272939
6680,10.22564,-0.229843,0.225055
6700,10.24479,-0.213084,0.263362
6720,10.24239,-0.203507,0.201113
6740,10.24,-0.21069,0.265756
6760,10.22085,-0.244209,0.237026
6780,10.21127,-0.196325,0.234632
6800,10.20888,-0.201113,0.241814
6820,10.22803,-0.23942,0.263362
6840,10.24,-0.208296,0.263362
6860,10.23282,-0.222661,0.232238
6880,10.23761,-0.21069,0.287304
6900,10.25197,-0.275333,0.237026
6920,10.19451,-0.19393,0.265756
6940,10.21606,-0.248997,0.248997
6960,10.23282,-0.205901,0.268151
6980,10.20169,-0.225055,0.215478
7000,10.21845,-0.191536,0.277727
7020,10.21845,-0.215478,0.244209
7040,10.22085,-0.213084,0.272939
7060,10.22324,-0.251391,0.248997
7080,10.23521,-0.162806,0.265756
7100,10.21606,-0.244209,0.225055
7120,10.25915,-0.220267,0.270545
7140,10.21845,-0.213084,0.237026
7160,10.21366,-0.198719,0.263362
7180,10.24,-0.23942,0.222661
7200,10.23042,-0.205901,0.25618
7220,10.21845,-0.205901,0.260968
7240,10.22085,-0.215478,0.263362
7260,10.24,-0.213084,0.265756
7280,10.21366,-0.172383,0.251391
7300,10.22085,-0.201113,0.258574
7320,10.23761,-0.23942,0.258574
7340,10.24,-0.181959,0.260968
7360,10.22085,-0.248997,0.248997
